node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
400080,7,28,0.450353,0.136805,0.001315,0.000114,181088.2612,665672.0736,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.778455
400018,4,28,0.45616,0.134516,0.001346,0.000794,182239.4829,671394.5234,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.738182
400110,7,22,0.292025,0.135416,0.001332,8e-06,179815.0419,662396.4211,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.673302
31603,8,20,0.38354,0.086424,0.001234,0.006578,196306.6781,744335.8519,"rail_10_1, rail_10_2, rail_1_1, rail_1_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_6_1, rail_6_2, rail_7_1, rail_7_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.659171
400060,7,22,0.172321,0.129349,0.001129,0.000128,182891.0945,674534.0991,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.606433
400090,4,22,0.283545,0.135924,0.001076,1.6e-05,180611.8557,664530.8005,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.60108
400415,7,12,0.172584,0.129902,0.000926,1.8e-05,187886.6151,656413.6363,"rail_10_1, rail_10_2, rail_14_1, rail_14_2, rail_1_1, rail_1_2, rail_2_1, rail_2_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.556346
31609,8,14,0.237333,0.082468,0.000951,0.005164,203788.682,744363.3425,"rail_1_1, rail_1_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail",8,0.545696
400320,8,14,0.07965,0.123261,0.001122,1e-05,188484.2317,650491.5267,"rail_12_1, rail_12_2, rail_15_1, rail_15_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.540812
1019,11,10,0.061533,0.080315,0.000695,0.287423,201184.3105,745418.9393,"R321-2, R323-1, R323-2, R324-1, R324-2, R325-1, R325-2, R327-2, R328-2, R330-1",BRT,4,0.510953
36308,11,6,0.002952,0.079648,0.000888,0.325215,201369.339,745505.189,"m0110a, m0120a, m0210a, m0610a, m0710a, m0910a",BRT,4,0.507777
