node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
1019,11,10,0.005939,0.071329,0.000738,0.287358,201184.3105,745418.9393,"R321-2, R323-1, R323-2, R324-1, R324-2, R325-1, R325-2, R327-2, R328-2, R330-1",BRT,4,0.602472
36308,11,6,0.000635,0.071201,0.000942,0.325307,201369.339,745505.189,"m0110a, m0120a, m0210a, m0610a, m0710a, m0910a",BRT,4,0.581124
513023,4,8,0.048583,0.115744,0.001288,0.0,184599.518,662690.276,"LRT-L1, LRT-L2, Mgt1-E, Mgt1-W, Mgt2-E, Mgt2-W, Mgt3-E, Mgt3-W",LRT,5,0.554001
511110,5,5,0.105128,0.095623,0.000964,0.0,175583.599,640617.0944,"L1-N, L1-S, L2-N, L2-S, LRT-L2",LRT,5,0.545684
36634,10,5,0.001475,0.071134,0.000889,0.299309,201183.5296,745444.3922,"m0310a, m0320a, m0510a, m0520a, m0820a",BRT,4,0.538017
511051,4,4,0.104528,0.097111,0.001026,0.0,176186.2229,641890.5415,"L2-N, L2-S, LRT-L1, LRT-L2",LRT,5,0.525905
511100,6,4,0.096995,0.096377,0.000837,0.0,175886.0834,641276.3719,"L2-N, L2-S, LRT-L1, LRT-L2",LRT,5,0.524069
36368,8,11,0.001937,0.062397,0.001591,0.000117,198885.1712,748200.4189,"m0110a, m0120a, m0210a, m0220a, m0610a, m0620a, m0710a, m0720a, m0810a, m0910a, m0920a",BRT,4,0.518337
511273,6,2,0.108143,0.116747,0.00064,1e-06,180046.5489,652653.9868,"LRT-L1, LRT-L2",LRT,5,0.517638
521012,3,4,0.073979,0.119111,0.000861,0.0,180633.5545,655248.1841,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.517009
521055,3,4,0.078602,0.120204,0.000774,0.0,178869.1384,656916.6836,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.515541
521024,4,4,0.07263,0.116206,0.000667,0.0,180938.8476,665688.0887,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.50598
521056,3,4,0.071917,0.120166,0.000726,0.0,177928.5244,657875.2793,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.5017
521045,6,6,0.016946,0.097795,0.001025,0.0,188417.8706,648406.7954,"East-N, East-S, M1-KS-LOD, M1-LOD-KS, Yelw-N, Yelw-S","BRT, LRT, Metro",6,0.501177
521060,3,4,0.072461,0.119312,0.000676,0.0,178977.8154,660615.6023,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.496218
521021,3,4,0.072954,0.11878,0.000669,0.0,179908.1597,662275.0633,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.495485
36404,10,3,0.003293,0.071734,0.000677,0.303746,201356.1211,745266.9645,"m0810a, m0910a, m0920a",BRT,4,0.495244
521023,3,4,0.073835,0.11741,0.000667,0.0,180792.9973,664532.1311,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.494771
523010,5,4,0.030261,0.11345,0.000969,0.0,186344.1801,660087.3668,"East-N, East-S, Me03-L, Me03-R","LRT, Metro",6,0.492075
36632,10,5,0.001952,0.072322,0.000824,0.204445,201601.2384,745129.1874,"m0310a, m0320a, m0510a, m0520a, m0820a",BRT,4,0.491702
36301,6,10,0.005185,0.073064,0.001274,0.067572,202098.7898,744948.881,"m0110a, m0120a, m0210a, m0220a, m0310a, m0320a, m0620a, m0710a, m0720a, m0820a",BRT,4,0.491051
521078,5,6,0.013115,0.096539,0.001087,0.0,190425.4502,651667.7587,"East-N, East-S, M1-KS-LOD, M1-LOD-KS, Yelw-N, Yelw-S","BRT, LRT, Metro",6,0.486717
36309,9,5,0.000778,0.071142,0.000734,0.244668,201437.1206,745572.6645,"m0120a, m0220a, m0610a, m0720a, m0910a",BRT,4,0.482798
521061,2,4,0.072346,0.118967,0.000672,0.0,179658.9033,661503.4147,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.480876
521057,2,4,0.068532,0.119663,0.000699,0.0,177995.6579,659109.9107,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.479565
511076,3,4,0.10237,0.094064,0.000773,0.0,175123.2638,639831.98,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.478817
521058,2,4,0.068474,0.119388,0.000685,0.0,178322.0544,659981.3459,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.477604
521022,2,4,0.070467,0.11785,0.000668,0.0,180523.5935,663376.6897,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.476631
521027,3,4,0.064748,0.111638,0.000672,0.0,181293.6437,668110.8256,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.476105
521063,3,4,0.063835,0.108279,0.0007,0.0,182078.0371,670995.1837,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.473691
521028,3,4,0.06264,0.110396,0.000677,0.0,181418.5859,669064.5852,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.472271
521010,4,2,0.069813,0.116941,0.000597,0.0,181202.6505,652494.4299,"M1-RA-RE, M1-RE-RA",Metro,6,0.469949
521025,2,4,0.065426,0.114879,0.000668,0.0,180848.9753,666399.4313,"M1-KS-LOD, M1-LOD-KS, M1-RA-RE, M1-RE-RA",Metro,6,0.466312
